,close,date,high,low,open,quoteVolume,volume,weightedAverage
3479,393.00000061,1449417600,394.99999999,393,393.0000111,1.01776911,400.61789421,393.62355398
3480,399.99999995,1449424800,399.99999995,390.26166018,394.99999892,2.77235238,1091.56626156,393.73287084
3481,398,1449432000,398,395.30000182,395.30000182,0.16142666,64.12113397,397.21526775
3482,390.30007076,1449439200,398.3,390.30000262,398.3,2.46766289,978.65110309,396.59027457
3483,392.25149989,1449446400,398.78429999,388.00009037,397.99999989,1.18718332,464.76360697,391.48427976
3484,398.99999893,1449453600,398.99999951,389.00037772,389.00037772,0.03742096,14.89533929,398.04802689
3485,392,1449460800,398.99999977,392,392.00002128,1.33859212,531.69407408,397.20394744
3486,395.00000027,1449468000,400.00000001,392.00004138,392.00004138,3.63137324,1445.57441778,398.07927256
3487,392.00000003,1449475200,398.99999972,392.00000003,398.99999972,0.00310568,1.22339209,393.92084819
3488,400.00000001,1449482400,400.00000001,392.00004541,392.00004541,1.65045352,654.68002427,396.66674422
3489,399.99999999,1449489600,403.00000001,399,400.99500002,4.47125364,1794.68276991,401.38245655
3490,397,1449496800,398.00000001,394.00013523,394.00013523,0.11117403,43.95537225,395.37446156
3491,395.00002019,1449504000,403.00000001,394.100101,394.10037155,0.4635011,183.438722,395.76760875
3492,399.99000018,1449511200,402.50000001,398.00000026,402.50000001,0.07835842,31.31927841,399.69257184
3493,393,1449518400,399.99000019,392.99999998,399.99000018,1.95045861,767.60987955,393.55353434
3494,394.20032806,1449525600,400.00000001,392.00018066,392.00018066,1.57194001,619.83783859,394.31392715
3495,398.00000012,1449532800,402,394.20000034,398.5,0.63792622,255.28715607,400.18288646
3496,394.20014759,1449540000,401.99999999,394.20012535,398.0000006,1.94083763,779.19131068,401.47166287
3497,394.20010001,1449547200,400.99999999,394.2,395.00011678,3.17535578,1269.83623447,399.90360843
3498,392.50000302,1449554400,396,392.20000001,394.20010001,1.04649321,410.91393122,392.65800035
3499,397.51949998,1449561600,397.51949998,396,396,0.67391257,267.64039024,397.14408389
3500,399.99999988,1449568800,399.99999988,395.00000807,395.00000824,1.38683005,549.46433972,396.20163964
3501,400.99989996,1449576000,400.99989999,395.00041524,399.99999948,0.55794546,223.39396038,400.38673382
3502,400.80000011,1449583200,400.99999999,395.50000823,395.50000823,1.52872077,612.54605155,400.69191416
3503,397.00000001,1449590400,401,397,397,0.30353309,121.20213709,399.30452754
3504,397,1449597600,397.50000001,397,397.5,0.32300596,128.3011963,397.20999669
3505,397.00000001,1449604800,402,397.00000001,401.99,0.18404318,73.92837165,401.69036233
3506,418.5542986,1449612000,418.5542986,398,398,9.17236031,3766.94342215,410.6841963
3507,417.9949982,1449619200,417.99499869,404.48417735,413.00000018,2.73171396,1120.53627751,410.19531836
3508,416.00004253,1449626400,420.00000008,415.0000375,417.99999998,3.04901499,1276.79774633,418.75745134
3509,420.00006116,1449633600,428.99999997,418.00000302,423.33333299,3.5871648,1516.63901024,422.7960227
